Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Router,38.29,0,3.79,1.64,41.0,44.0,,,,34,45.0,4.53,1.41,0.13,2.51,4.76,0.0,2.38,0.0
Fax Machine,55.95,1,9.99,5.71,,,,17.0,33.0,15,29.0,1.61,1.35,1.07,2.48,0.0,1.51,0.0,2.49
Set-top Box,26.09,0,1.26,9.54,49.0,44.0,,,,19,40.0,2.79,2.26,0.0,0.0,1.44,4.92,0.74,0.73
Monitor,81.37,1,9.8,5.3,,,,44.0,,44,24.0,0.0,0.0,3.41,3.44,0.0,2.69,0.0,2.64
Television,71.0,1,3.22,7.44,,,,34.0,,30,40.0,3.86,3.74,0.38,2.62,0.0,4.7,2.88,4.04
UPS,50.01,1,7.04,11.23,,,28.0,,,46,13.0,0.0,4.68,4.6,2.62,0.62,0.0,1.31,2.38
Fax Machine,49.1,0,8.26,2.17,,,,39.0,15.0,33,11.0,0.0,0.3,2.85,3.75,4.48,0.29,2.65,1.35
Refrigerator,58.45,0,3.29,13.83,,,,,,15,48.0,2.43,0.53,1.48,2.73,3.38,0.76,2.2,2.02
Hard Drive,23.44,1,9.14,13.25,,36.0,,,,38,34.0,0.62,0.19,0.0,0.0,3.42,1.72,0.33,4.14
Television,48.39,1,4.55,11.07,,,,48.0,,33,17.0,0.12,4.7,1.19,4.68,2.35,2.96,4.31,1.53
Microwave,59.69,1,4.69,11.29,,,,,,42,39.0,1.25,0.0,0.0,1.23,2.09,0.0,3.65,4.91
Modem,91.05,1,4.48,9.9,40.0,21.0,,,,31,17.0,3.29,1.16,1.98,3.2,3.76,1.88,4.18,0.02
Tablet,68.68,0,9.02,12.14,31.0,36.0,47.0,48.0,,36,12.0,0.0,3.06,0.0,0.0,3.82,0.0,0.51,0.0
Refrigerator,79.53,0,9.13,7.19,,,,,,16,13.0,0.0,0.0,0.0,0.0,0.0,4.15,2.73,1.06
Monitor,88.52,0,6.6,3.77,,,,15.0,,28,33.0,4.61,4.4,0.0,0.0,0.0,4.89,0.0,4.31
Camera,48.78,0,4.87,10.29,,34.0,,15.0,,11,13.0,1.39,0.0,0.0,3.13,3.41,0.0,0.0,2.32
Fax Machine,82.22,0,8.18,6.84,,,,14.0,43.0,48,24.0,0.0,3.74,0.95,0.0,0.0,4.09,2.65,2.58
Other,69.43,1,3.37,12.69,,,,,,28,24.0,1.78,1.18,0.0,1.57,0.0,3.08,0.0,0.0
Microwave,41.61,1,0.09,13.63,,,,,,13,37.0,0.0,0.0,0.0,0.0,2.54,4.26,0.0,4.72
Desktop,23.81,0,1.01,3.58,31.0,36.0,,,39.0,20,18.0,0.81,0.0,3.12,0.0,0.0,2.66,0.0,0.0
UPS,44.97,0,7.18,11.78,,,22.0,,,35,38.0,0.0,0.0,3.13,2.21,0.95,0.0,0.0,4.87
Mobile,66.4,0,2.57,1.71,50.0,28.0,11.0,21.0,,47,49.0,1.73,0.0,0.0,1.52,2.53,0.64,0.0,0.0
Projector,68.66,0,7.26,11.01,,,,50.0,,30,32.0,1.83,2.99,3.62,0.61,2.48,4.78,0.0,0.22
Refrigerator,67.56,0,1.34,0.03,,,,,,36,18.0,0.0,1.0,0.0,0.0,2.28,0.11,0.88,1.78
Scanner,39.91,1,8.46,0.13,,,,34.0,,46,37.0,2.96,0.0,4.82,0.0,0.0,0.0,0.0,0.0
Smartwatch,64.55,1,3.34,14.64,10.0,29.0,26.0,42.0,,27,,4.88,3.4,3.57,0.0,4.94,0.0,3.01,3.19
Printer,57.48,1,3.13,9.63,,29.0,,,30.0,17,46.0,4.89,2.17,1.65,4.48,4.62,1.49,2.47,0.02
Smartwatch,84.73,0,3.35,7.81,12.0,36.0,27.0,23.0,,20,,4.04,0.0,0.98,0.31,3.96,3.99,0.0,4.63
Washing Machine,94.86,0,5.11,13.46,,,,,,26,47.0,0.0,0.0,0.0,0.0,3.15,3.34,2.24,0.77
Air Conditioner,35.93,1,7.59,11.81,,,,,,18,21.0,0.42,2.13,3.78,4.88,0.97,0.0,0.0,0.0
Printer,96.07,1,9.94,9.55,,36.0,,,25.0,24,46.0,2.61,2.06,0.0,0.49,1.67,4.23,0.0,2.36
Mobile,78.68,0,6.21,9.51,37.0,47.0,28.0,13.0,,48,36.0,4.54,2.6,0.0,3.73,2.08,0.0,0.0,0.0
Microwave,35.95,0,5.57,1.73,,,,,,21,15.0,1.39,4.87,1.53,4.42,1.68,0.98,4.27,1.04
Game Console,39.95,1,9.68,9.82,37.0,15.0,,10.0,,47,10.0,0.16,4.64,0.18,0.0,4.46,0.0,0.0,0.0
